Commit Hash,Aurthor,Week Day,Day,Month,Year,Date,Time,Time Zone,Subject
38fd752,daflair,Thu,15,Mar,2012,2012-03-15,19:38:32,-0400,Improving MouseEvents & EventHandler functions
592238a,daflair,Wed,14,Mar,2012,2012-03-14,20:02:11,-0400,"Implemented Hard-Lim linking, fixed events, superclass calls, code alignment"
c30213d,daflair,Tue,13,Mar,2012,2012-03-13,20:22:02,-0400,Fixed MultiPlot Figure Resize
8e035b3,daflair,Tue,13,Mar,2012,2012-03-13,20:21:41,-0400,Fixed Multiple Decorator Implementation
3fcf6a6,daflair,Tue,13,Mar,2012,2012-03-13,17:45:08,-0400,Implemented GrasppeDecorator (working)
0b08fc7,daflair,Tue,13,Mar,2012,2012-03-13,16:35:01,-0400,Implementing Decorators
ec02b4c,daflair,Tue,13,Mar,2012,2012-03-13,11:20:14,-0400,Updated BuildDataBuffers to rebuild without 9 GB merged surfs
ada8081,daflair,Tue,13,Mar,2012,2012-03-13,10:27:43,-0400,Fixed PlotUPStats-UniformityDataSource coupling
eecd361,daflair,Tue,13,Mar,2012,2012-03-13,06:37:31,-0400,Improved multi-plot best-fit logic
a601f52,daflair,Tue,13,Mar,2012,2012-03-13,06:37:05,-0400,New Improved WorkspaceVariables using VarStruct
90d26a2,daflair,Mon,12,Mar,2012,2012-03-12,09:53:35,-0400,Generated Reports
c9d465a,daflair,Sun,11,Mar,2012,2012-03-11,22:12:04,-0400,Fixed issue with on demand GetComponentFields retrieval
70dc6b3,daflair,Sun,11,Mar,2012,2012-03-11,09:10:39,-0400,Fixed DataGet/Set Plots-DataSources w/ Testing
990ed2e,daflair,Sat,10,Mar,2012,2012-03-10,12:50:52,-0500,Before implementing private ComponentProperties
58c3b65,daflair,Fri,9,Mar,2012,2012-03-09,12:11:33,-0500,fixes DataSources issue
d1bc5ff,daflair,Fri,9,Mar,2012,2012-03-09,11:43:49,-0500,Refactoring Plot Objects/Axes/Figures Prototypes
195322e,daflair,Fri,9,Mar,2012,2012-03-09,11:42:40,-0500,"Added BuildBuffer script, Improved DebugStamp, Fixed minor DataStore glitches"
8f95940,daflair,Thu,8,Mar,2012,2012-03-08,18:36:35,-0500,Fixed replaced set/get with handleSet/handleGet
dcb6c03,daflair,Thu,8,Mar,2012,2012-03-08,12:52:50,-0500,"Fixing Prototypes update issues, implemented debugStamp"
22f15b6,daflair,Thu,8,Mar,2012,2012-03-08,12:52:40,-0500,"Fixing Prototypes update issues, implemented debugStamp"
7508643,daflair,Thu,8,Mar,2012,2012-03-08,06:04:10,-0500,Early Prototypes Sheet Plots
171199b,daflair,Wed,7,Mar,2012,2012-03-07,11:16:06,-0500,Implementier Object/Handle Property Listeners
8b51fed,daflair,Tue,6,Mar,2012,2012-03-06,21:10:31,-0500,Refactoring +Plots as .Prototypes
1bedb30,daflair,Mon,5,Mar,2012,2012-03-05,06:46:22,-0500,Updating Beta for 2012a
d14c665,daflair,Mon,5,Mar,2012,2012-03-05,06:45:50,-0500,Improved Alpha Export Video Threading
f684233,daflair,Thu,1,Mar,2012,2012-03-01,14:17:05,-0500,Implemented threaded Export Video
fb0aef7,daflair,Thu,1,Mar,2012,2012-03-01,09:53:12,-0500,Locked Encode Mov apple script file
07a930e,daflair,Wed,29,Feb,2012,2012-02-29,23:50:35,-0500,Refactored sup (Alpha) w/ persistent data
8d25776,daflair,Tue,28,Feb,2012,2012-02-28,13:18:45,-0500,Refactoring handle get/set functions
30c359a,daflair,Tue,28,Feb,2012,2012-02-28,10:21:59,-0500,Fixing event handling and handle creation
ef01702,daflair,Mon,27,Feb,2012,2012-02-27,21:20:01,-0500,Refactoring Plot Objects in progress
b7619f1,daflair,Mon,27,Feb,2012,2012-02-27,21:19:27,-0500,Refactoring Plot Objects in progress
60c48ec,daflair,Mon,27,Feb,2012,2012-02-27,07:39:21,-0500,Implementing upSurface in progress
